time,P,G(i),H_sun,T2m,WS10m,Int
20050101:0011,0.0,0.0,0.0,5.45,2.41,0.0
20050101:0111,0.0,0.0,0.0,5.44,2.41,0.0
20050101:0211,0.0,0.0,0.0,5.29,2.41,0.0
20050101:0311,0.0,0.0,0.0,4.9,2.48,0.0
20050101:0411,0.0,0.0,0.0,4.3,2.55,0.0
20050101:0511,0.0,0.0,0.0,3.6,2.62,0.0
20050101:0611,0.0,0.0,0.0,2.82,3.31,0.0
20050101:0711,0.0,0.0,0.0,2.08,3.52,0.0
20050101:0811,17.6,9.46,5.13,1.67,3.52,0.0
20050101:0911,107.5,23.65,9.77,1.55,3.59,0.0
20050101:1011,62.2,17.03,12.53,1.64,3.72,0.0
20050101:1111,141.9,28.38,13.18,1.74,3.72,0.0
20050101:1211,409.1,61.49,11.65,1.88,3.66,0.0
20050101:1311,27.7,11.35,8.09,1.94,3.45,0.0
20050101:1411,0.0,4.73,2.77,1.77,2.83,0.0
20050101:1511,0.0,0.0,0.0,1.52,2.41,0.0
20050101:1611,0.0,0.0,0.0,1.29,2.28,0.0
20050101:1711,0.0,0.0,0.0,1.2,2.28,0.0
20050101:1811,0.0,0.0,0.0,1.27,2.55,0.0
20050101:1911,0.0,0.0,0.0,1.36,3.03,0.0
20050101:2011,0.0,0.0,0.0,1.53,3.17,0.0
20050101:2111,0.0,0.0,0.0,1.35,3.45,0.0
20050101:2211,0.0,0.0,0.0,1.63,3.79,0.0
20050101:2311,0.0,0.0,0.0,2.04,4.14,0.0
20050102:0011,0.0,0.0,0.0,2.55,4.76,0.0
20050102:0111,0.0,0.0,0.0,2.69,4.97,0.0
20050102:0211,0.0,0.0,0.0,2.94,5.45,0.0
20050102:0311,0.0,0.0,0.0,3.26,5.72,0.0
20050102:0411,0.0,0.0,0.0,3.51,5.72,0.0
20050102:0511,0.0,0.0,0.0,4.05,6.28,0.0
20050102:0611,0.0,0.0,0.0,4.92,6.41,0.0
20050102:0711,0.0,0.0,0.0,4.74,7.52,0.0
20050102:0811,1115.8,142.74,5.17,4.25,7.03,0.0
20050102:0911,22.2,10.41,9.83,3.98,7.45,0.0
20050102:1011,183.1,34.06,12.61,3.92,7.86,0.0
20050102:1111,92.9,21.76,13.27,3.99,8.21,0.0
20050102:1211,55.4,16.08,11.76,4.04,8.0,0.0
20050102:1311,49.5,15.14,8.2,3.92,7.79,0.0
20050102:1411,0.0,4.73,2.89,3.53,7.31,0.0
20050102:1511,0.0,0.0,0.0,3.0,7.1,0.0
20050102:1611,0.0,0.0,0.0,2.7,7.1,0.0
20050102:1711,0.0,0.0,0.0,2.37,7.17,0.0
20050102:1811,0.0,0.0,0.0,2.06,7.38,0.0
20050102:1911,0.0,0.0,0.0,2.07,7.52,0.0
20050102:2011,0.0,0.0,0.0,2.0,7.66,0.0
20050102:2111,0.0,0.0,0.0,2.11,7.66,0.0
20050102:2211,0.0,0.0,0.0,1.95,7.66,0.0
20050102:2311,0.0,0.0,0.0,2.03,7.93,0.0
20050103:0011,0.0,0.0,0.0,1.64,8.28,0.0
20050103:0111,0.0,0.0,0.0,1.53,7.72,0.0
20050103:0211,0.0,0.0,0.0,1.51,7.79,0.0
20050103:0311,0.0,0.0,0.0,1.41,8.07,0.0
20050103:0411,0.0,0.0,0.0,1.42,8.21,0.0
20050103:0511,0.0,0.0,0.0,1.38,7.66,0.0
20050103:0611,0.0,0.0,0.0,1.34,7.03,0.0
20050103:0711,0.0,0.0,0.0,1.26,6.62,0.0
20050103:0811,100.3,22.64,5.21,1.39,6.41,0.0
20050103:0911,359.3,55.33,9.89,1.68,6.55,0.0
20050103:1011,68.2,17.97,12.69,2.21,6.69,0.0
20050103:1111,400.1,60.54,13.36,2.71,6.48,0.0
20050103:1211,55.7,16.08,11.87,2.96,6.34,0.0
20050103:1311,915.9,118.52,8.32,2.9,7.03,0.0
20050103:1411,0.0,4.73,3.02,2.51,6.97,0.0
20050103:1511,0.0,0.0,0.0,2.27,6.83,0.0
20050103:1611,0.0,0.0,0.0,2.28,6.69,0.0
20050103:1711,0.0,0.0,0.0,2.1,6.48,0.0
20050103:1811,0.0,0.0,0.0,2.02,5.86,0.0
20050103:1911,0.0,0.0,0.0,2.58,5.93,0.0
20050103:2011,0.0,0.0,0.0,2.82,5.52,0.0
20050103:2111,0.0,0.0,0.0,3.4,5.72,0.0
20050103:2211,0.0,0.0,0.0,3.66,6.14,0.0
20050103:2311,0.0,0.0,0.0,3.98,6.83,0.0
20050104:0011,0.0,0.0,0.0,4.41,7.31,0.0
20050104:0111,0.0,0.0,0.0,4.87,7.24,0.0
20050104:0211,0.0,0.0,0.0,5.07,6.97,0.0
20050104:0311,0.0,0.0,0.0,5.19,6.69,0.0
20050104:0411,0.0,0.0,0.0,5.28,6.41,0.0
20050104:0511,0.0,0.0,0.0,5.42,6.28,0.0
20050104:0611,0.0,0.0,0.0,5.57,6.34,0.0
20050104:0711,0.0,0.0,0.0,5.74,6.62,0.0
20050104:0811,0.0,2.84,5.27,5.88,6.97,0.0
20050104:0911,27.0,11.35,9.96,5.83,7.1,0.0
20050104:1011,91.9,21.76,12.77,5.86,7.03,0.0
20050104:1111,66.7,17.97,13.47,5.92,7.1,0.0
20050104:1211,54.7,16.08,11.98,5.96,7.17,0.0
20050104:1311,26.9,11.35,8.45,6.04,7.1,0.0
20050104:1411,4.0,6.62,3.16,6.08,6.97,0.0
20050104:1511,0.0,0.0,0.0,6.04,6.76,0.0
20050104:1611,0.0,0.0,0.0,5.96,6.69,0.0
20050104:1711,0.0,0.0,0.0,5.85,6.55,0.0
20050104:1811,0.0,0.0,0.0,5.77,6.34,0.0
20050104:1911,0.0,0.0,0.0,5.96,6.07,0.0
